lead_001,Hai,19/03/2001,true,1234567890,aaron@gmail.com,100 Tran Phu
lead_002,Aaron,19/04/2001,true,1234567899,hai@gmail.com,122 Tran Phu
lead_003,David,20/02/2001,true,1234567898,david@gmail.com,76 Tran Phu
lead_004,Jack,25/04/2000,true,1234567897,jack@gmail.com,11 Tran Phu
lead_005,Sarah,22/10/1999,true,1234567888,sarah@gmail.com,12 Nguyen Trai
lead_006,John,21/01/2002,true,1234567891,john@gmail.com,45 Nguyen Trai
lead_007,Dave,11/01/2001,true,1111111111,dave@gmail.com,14 Nguyen Van Cu
lead_008,Jim,20/01/1999,true,2222222222,jimmy@gmail.com,12 Nguyen Van Linh
lead_009,Jarret,03/05/2005,true,3333333333,jar@gmail.com,14 Nguyen Luong Bang
lead_010,James,30/12/1997,true,4444444444,james@gmail.com,145 Nguyen van Linh
lead_011,Aiden,20/12/2000,Male,0903956067,lykhoiviet426@gmail.com,25 39 Street
